,question,distractor3,distractor1,distractor2,correct_answer,support,mostUse,newQuestion,Question_Generate,Answer_Generate
146,Inserting copies of normal genes into a patient with defective genes is known as?,chromosome treatment,pattern therapy,cloning,gene therapy,treat genetic **disorders** example copies normal gene might inserted patient defective gene called gene therapy ideally cure genetic disorder,"('disorders', 1)","('What type of genetic disorder does gene therapy treat?', 'disorders', ['Abnormality', 'Acathexia', 'Addiction', 'Agalactia', 'Amyxia', 'Analgesia', 'Anesthesia', 'Anestrus', 'Angiotelectasia', 'Anhidrosis', 'Arousal', 'Asphyxia', 'Bloodiness', 'Cellularity', 'Cold Sweat', 'Cryptobiosis', 'Dilatation', 'Disorder', 'Drive', 'Elastosis', 'Emmetropia', 'Estrus', 'False Pregnancy', 'Fertility', 'Flatulence', 'Flexure', 'Good Health', 'Hypercapnia', 'Hyperpigmentation', 'Hyperthermia', 'Hypocapnia', 'Hypopigmentation', 'Hypothermia', 'Incompatibility', 'Muscularity', 'Myasthenia', 'Normothermia', 'Obstruction', 'Oligospermia', 'Oxygen Debt', 'Pathological State', 'Poisoning', 'Potency', 'Pregnancy', 'Rigor Mortis', 'Sedation', 'Sleep', 'Sterility', 'Suspended Animation', 'Torpor', 'Vitalization', 'Wakefulness'], 'a physical condition in which there is a disturbance of normal functioning')",What type of genetic disorder does gene therapy treat?,disorders
147,What type of reproduction usually occur during times of environmental stress?,asexual reproduction,internal reproduction,hysterical reproduction,sexual reproduction,,none,,,
148,"All forms of energy can be interconverted. three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of what?",cold and energy,temperature and work,humidity and work,heat and work,forms energy interconverted three things change energy object transfer heat **work** performed object combination heat **work**,"('work', 2)","('What does TGT stand for?', 'work [TGT] performed object combination heat [TGT] work', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does TGT stand for?,work  performed object combination heat  work
149,What science includes many fields of science related to our home planet?,biology,meteorology,zoology,earth science,earth science **includes** many fields science related home planet,"('includes', 1)","('Does earth science include many fields of science related home planet?', 'includes', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Does earth science include many fields of science related home planet?,includes
150,What are alloys that are mostly composed of mercury known as?,compounds,halogens,fillings,amalgams,alloys mostly composed mercury known amalgams amalgams often special **properties** stem fact mercury exists liquid room temperature result metal amalgams used variety purposes including dentistry extraction pure metals gold,"('properties', 1)","('What are special about amalgams?', 'properties', ['Ballast', 'Character', 'Cheerfulness', 'Common Denominator', 'Depth', 'Eidos', 'Ethos', 'Human Nature', 'Inheritance', 'Personality', 'Property', 'Quality', 'Shape', 'Space', 'State', 'Thing', 'Time', 'Trait', 'Uncheerfulness'], 'a basic or essential attribute shared by all members of a class')",What are special about amalgams?,properties
151,What are made from highly reflective metal that is applied to a curved or flat piece of glass?,prisms,lenses,kaleidoscopes,mirrors,mirrors made highly reflective **metal** applied curved flat piece glass converging mirrors used focus light headlights telescopes satellite receivers solar cookers rely principle,"('metal', 1)","('What material are mirrors made of?', 'metal', ['Actinium', 'Allotrope', 'Argon', 'Arsenic', 'Astatine', 'Bohrium', 'Boron', 'Bromine', 'Carbon', 'Chlorine', 'Darmstadtium', 'Dubnium', 'Fluorine', 'Germanium', 'Hassium', 'Helium', 'Hydrogen', 'Iodine', 'Krypton', 'Lawrencium', 'Meitnerium', 'Mendelevium', 'Metallic Element', 'Neon', 'Nitrogen', 'Nobelium', 'Noble Gas', 'Nonmetal', 'Oxygen', 'Phosphorus', 'Plutonium', 'Radon', 'Roentgenium', 'Rutherfordium', 'Seaborgium', 'Selenium', 'Silicon', 'Sulfur', 'Tellurium', 'Trace Element', 'Transactinide', 'Transuranic Element', 'Ununbium', 'Ununhexium', 'Ununpentium', 'Ununquadium', 'Ununtrium', 'Xenon'], 'any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.')",What material are mirrors made of?,metal
152,What do ranchers fear will happen if wolves return?,vegetation predation,loss of environment,human predation,livestock predation,,none,,,
153,How many types of surface waves are there?,six,over a hundred,three,two,surface waves travel along ground outward earthquake epicenter surface waves slowest seismic waves travel miles second types surface waves love waves move side side much like snake rayleigh waves produce rolling motion move backward figure surface waves **cause** objects fall rise also **cause** objects sway back forth motions **cause** damage rigid structures earthquake,"('cause', 3)","('What do surface waves do to objects?', 'cause [TGT] objects fall rise also [TGT] cause [TGT] objects sway back forth motions [TGT] cause', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What do surface waves do to objects?,cause  objects fall rise also  cause  objects sway back forth motions  cause
154,What is the rigid layer that is found outside the cell membrane and surrounds the cell?,cell root,cell barrier,cell shield,cell wall,cell wall rigid layer found outside cell membrane surrounds cell cell wall contains cellulose protein **polysaccharides** well fact classes **polysaccharides** hemicelluloses pectic **polysaccharides** comprise mass cell wall cell wall provides structural support protection pores cell wall allow water nutrients move cell cell wall also prevents plant cell bursting water enters cell,"('polysaccharides', 3)","('What type of polysaccharides comprise mass cell wall?', 'polysaccharides [TGT] well fact classes [TGT] polysaccharides [TGT] hemicelluloses pectic [TGT] polysaccharides', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of polysaccharides comprise mass cell wall?,polysaccharides  well fact classes  polysaccharides  hemicelluloses pectic  polysaccharides
155,"Surface tension of alveolar fluid, which is mostly water, creates an inward pull of the tissue of what organ?",heart,spleen,brain,lung,intrapleural pressure pressure **within** pleural cavity visceral parietal pleurae similar intra alveolar pressure intrapleural pressure also changes different phases breathing however certain characteristics lungs intrapleural pressure always lower negative intra alveolar pressure therefore also atmospheric pressure although fluctuates inspiration expiration intrapleural pressure remains approximately throughout breathing cycle competing forces **within** thorax cause formation negative intrapleural pressure forces relates elasticity lungs elastic tissue pulls lungs inward away thoracic wall surface tension alveolar fluid mostly water also creates inward pull lung tissue inward tension lungs countered opposing forces pleural fluid thoracic wall surface tension **within** pleural cavity pulls lungs outward much little pleural fluid would hinder creation negative intrapleural pressure therefore level must closely monitored mesothelial cells drained lymphatic system since parietal pleura attached thoracic wall natural elasticity chest wall opposes inward pull lungs ultimately outward pull slightly greater inward pull creating intrapleural pressure relative intraalveolar pressure transpulmonary pressure difference intrapleural intra alveolar pressures determines size lungs higher transpulmonary pressure corresponds larger lung,"('within', 3)","('What type of pressure changes different phases breathing?', 'within [TGT] pleural cavity visceral parietal pleurae similar intra alveolar pressure intrapleural pressure also changes different phases breathing however certain characteristics lungs intrapleural pressure always lower negative intra alveolar pressure therefore also atmospheric pressure although fluctuates inspiration expiration intrapleural pressure remains approximately throughout breathing cycle competing forces [TGT] within [TGT] thorax cause formation negative intrapleural pressure forces relates elasticity lungs elastic tissue pulls lungs inward away thoracic wall surface tension alveolar fluid mostly water also creates inward pull lung tissue inward tension lungs countered opposing forces pleural fluid thoracic wall surface tension [TGT] within', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of pressure changes different phases breathing?,within  pleural cavity visceral parietal pleurae similar intra alveolar pressure intrapleural pressure also changes different phases breathing however certain characteristics lungs intrapleural pressure always lower negative intra alveolar pressure therefore also atmospheric pressure although fluctuates inspiration expiration intrapleural pressure remains approximately throughout breathing cycle competing forces  within  thorax cause formation negative intrapleural pressure forces relates elasticity lungs elastic tissue pulls lungs inward away thoracic wall surface tension alveolar fluid mostly water also creates inward pull lung tissue inward tension lungs countered opposing forces pleural fluid thoracic wall surface tension  within
156,What type of tumor mostly does not cause serious problems and can be completely removed by surgery?,malignant,toxic,persistent,benign,,none,,,
157,What supports and protects the soft organs of the body?,Muscle,Skin,skull,skeleton,protection skeleton supports protects **soft** organs body example skull surrounds brain protect injury bones cage help protect heart lungs,"('soft', 1)","('Skeleton supports protects what type of organs?', 'soft', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Skeleton supports protects what type of organs?,soft
158,What celestial body is the earth’s main source of energy?,moon,rivers,ocean,sun,earth main source energy gives light heat **changes** hydrogen helium nuclear fusion releases huge amounts energy energy travels earth mostly visible light energy carried empty space radiation sunlight energy resource called solar energy,"('changes', 1)","(""What does earth's main source of energy do?"", 'changes', ['Affinity', 'Association', 'Business Relation', 'Causality', 'Change', 'Comparison', 'Connection', 'Control', 'Foundation', 'Function', 'Interrelation', 'Kinship', 'Linguistic Relation', 'Logical Relation', 'Magnitude Relation', 'Mathematical Relation', 'Opposition', 'Ownership', 'Part', 'Position', 'Possession', 'Reciprocality', 'Relationship', 'Social Relation', 'Temporal Relation', 'Unconnectedness'], 'a relational difference between states; especially between states before and after some event')",What does earth's main source of energy do?,changes
159,What do you call the horizontal stems of a strawberry plant that run over the ground surface?,sprouts,root volunteers,climbing vines,stolons,strawberry plants horizontal stems called stolons ground **surface** take root form plants,"('surface', 1)","('What are stolons?', 'surface', ['Boundary Line', 'Bourn', 'City Line', 'County Line', 'District Line', 'Edge', 'End', 'Frontier', 'Hairline', 'Heliopause', 'Limit', 'Outline', 'Shoreline'], 'the extended two-dimensional outer boundary of a three-dimensional object')",What are stolons?,surface
160,Glaciers are incredibly powerful agents of what?,extinction,climate change,insulation,erosion,glaciers incredibly powerful **agents** erosion,"('agents', 1)","('What kind of erosion are glaciers?', 'agents', ['Agent', 'Catalyst', 'Cause Of Death', 'Danger', 'Destiny', 'Deus Ex Machina', 'Engine', 'First Cause', 'Nature', 'Operator', 'Person', 'Power', 'Supernatural', 'Theurgy', 'Vital Principle'], 'an active and efficient cause; capable of producing a certain effect')",What kind of erosion are glaciers?,agents
161,What type of pressure is the pressure exerted by gas particles in earth’s atmosphere as those particles collide with objects?,adjacent pressure,vertical pressure,adjacent pressure,atmospheric pressure,atmospheric pressure pressure exerted particles earth atmosphere particles collide objects barometer instrument used measure atmospheric pressure traditional **mercury** barometer consists evacuated tube immersed container **mercury** molecules push surface **mercury** inside tube vacuum **mercury** rises inside tube height **mercury** rises dependent external pressure,"('mercury', 5)","('What type of barometer is used to measure atmospheric pressure?', 'mercury [TGT] barometer consists evacuated tube immersed container [TGT] mercury [TGT] molecules push surface [TGT] mercury [TGT] inside tube vacuum [TGT] mercury [TGT] rises inside tube height [TGT] mercury', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of barometer is used to measure atmospheric pressure?,mercury  barometer consists evacuated tube immersed container  mercury  molecules push surface  mercury  inside tube vacuum  mercury  rises inside tube height  mercury
162,What helps the plasma membrane keep its shape?,cytoplasm,molecules of carbohydrates,molecules of oxygen,molecules of cholesterol,plasma membrane **also** contains molecules primarily lipids proteins green molecules figure example lipid cholesterol molecules cholesterol help plasma membrane keep shape many proteins plasma membrane assist substances crossing membrane,"('also', 1)","('Does plasma membrane contain lipids?', 'also', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Does plasma membrane contain lipids?,also
163,What type of reproduction only involves one parent?,binary,primitive,organic,asexual,asexual reproduction involves **parent** produces offspring genetically identical **parent** methods asexual reproduction include binary fission fragmentation budding,"('parent', 2)","('What does asexual reproduction involve?', 'parent [TGT] produces offspring genetically identical [TGT] parent', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does asexual reproduction involve?,parent  produces offspring genetically identical  parent
164,"What is defined as a repeating series of events that include growth, dna synthesis, and cell division?",puberty,photosynthesis,meiosis,cell cycle,cell division several stages cell **goes** lifetime cell cycle repeating series events include growth synthesis cell division cell cycle prokaryotes quite simple cell grows replicates cell divides eukaryotes cell cycle complicated,"('goes', 1)","('How long does cell cycle repeating series events last?', 'goes', ['Batting', 'Best', 'Bid', 'Contribution', 'Crack', 'Essay', 'Foray', 'Liberation', ""Mug's Game"", 'Power Play', 'Seeking', 'Shot', 'Striving', 'Struggle', 'Takeover Attempt', 'Test', 'Worst'], 'a usually brief attempt')",How long does cell cycle repeating series events last?,goes
165,"How metalloids behave in chemical interactions with other elements depends mainly on the number of what, in the outer energy level of their atoms?",neutrons,protons,positrons,electrons,metalloids behave chemical interactions elements depends mainly number electrons **outer** energy level atoms metalloids three electrons **outer** energy level boron pictured figure metalloid three electrons **outer** energy level tends like metals giving electrons chemical reactions metalloids four electrons **outer** energy level arsenic antimony tellurium tend like nonmetals gaining electrons chemical reactions exactly four electrons **outer** energy level silicon germanium like either metals nonmetals depending elements reaction,"('outer', 5)","('What type of energy level tends to be metals giving electrons chemical reactions?', 'outer [TGT] energy level atoms metalloids three electrons [TGT] outer [TGT] energy level boron pictured figure metalloid three electrons [TGT] outer [TGT] energy level tends like metals giving electrons chemical reactions metalloids four electrons [TGT] outer [TGT] energy level arsenic antimony tellurium tend like nonmetals gaining electrons chemical reactions exactly four electrons [TGT] outer', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of energy level tends to be metals giving electrons chemical reactions?,outer  energy level atoms metalloids three electrons  outer  energy level boron pictured figure metalloid three electrons  outer  energy level tends like metals giving electrons chemical reactions metalloids four electrons  outer  energy level arsenic antimony tellurium tend like nonmetals gaining electrons chemical reactions exactly four electrons  outer
166,What distinguishing characteristic of annelid anatomy shows specialization and adaptation?,compression,asymmetry,beautiful,segmentation,**annelid**s divided many repeating segments earthworm figure **annelid** clearly many segments segmentation **annelid**s highly adaptive segment nerve muscle tissues allows animal move efficiently segments also specialized carry particular functions special structures example might tentacles sensing feeding paddles swimming suckers clinging surfaces,"('annelid', 1)","('What does annelid do clearly many segments segmentation?', 'annelid [TGT] s divided many repeating segments earthworm figure [TGT] annelid [TGT] clearly many segments segmentation [TGT] annelid', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does annelid do clearly many segments segmentation?,annelid  s divided many repeating segments earthworm figure  annelid  clearly many segments segmentation  annelid
167,The spermatids are transported from the testes to where?,vas,abdominis,Duodenum,epididymis,spermatids transported testes **epididymis** involuntary muscular contraction moves spermatids along,"('epididymis', 1)","('What part of the body moves spermatids along?', 'epididymis', ['Alimentary Canal', 'Bronchiole', 'Canal Of Schlemm', 'Canaliculus', 'Cartilaginous Tube', 'Cerebral Aqueduct', 'Cervical Canal', 'Common Bile Duct', 'Ductule', 'Ejaculatory Duct', 'Haversian Canal', 'Hepatic Duct', 'Inguinal Canal', 'Lacrimal Duct', 'Lactiferous Duct', 'Lymph Vessel', 'Nasolacrimal Duct', 'Pancreatic Duct', 'Pore', 'Salivary Duct', 'Seminal Duct', 'Spinal Canal', 'Umbilical Cord', 'Ureter', 'Urethra', 'Vagina', 'Vas Deferens', 'Venous Sinus'], 'a convoluted tubule in each testis; carries sperm to vas deferens')",What part of the body moves spermatids along?,epididymis
168,How does water from roots reach the leaves?,water-phobic cells,water - combining cells,water - raising cells,water-conducting cells,,none,,,
169,"As a polycrystalline material solidifies, grains with irregular shapes form. the interfaces between grains constitute grain what?",obstacles,waves,patterns,boundaries,grain boundaries polycrystalline material solidifies grains irregular shapes **form** interfaces grains constitute grain boundaries squares represent unit cells within grains,"('form', 1)","('What shape does polycrystalline material solidify grains?', 'form', ['Asymmetry', 'Dimensionality', 'Directionality', 'Obliqueness', 'Shape', 'Symmetry'], 'any spatial attributes (especially as defined by outline)')",What shape does polycrystalline material solidify grains?,form
170,Motors are the most common application of magnetic force on current-carrying wires. motors have loops of wire in this?,spark plugs,electrical circuit,capacitors,magnetic field,torque current loop motors meters motors common application **magnetic** force current carrying wires motors loops wire **magnetic** field current passed loops **magnetic** field exerts torque loops rotates shaft electrical energy converted mechanical work process figure,"('magnetic', 3)","('What type of force current carrying wires is used?', 'magnetic [TGT] force current carrying wires motors loops wire [TGT] magnetic [TGT] field current passed loops [TGT] magnetic', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of force current carrying wires is used?,magnetic  force current carrying wires motors loops wire  magnetic  field current passed loops  magnetic
171,What makes and stores pigments that give petals and fruit their orange and yellow colors?,pores,sporozoans,protozoa,chromoplasts,chromoplasts make store pigments **give** petals fruit orange yellow colors,"('give', 1)","('What do chromoplasts do to petals?', 'give', ['Bounce', 'Elasticity Of Shear', 'Resilience', 'Stretch', 'Temper'], 'the elasticity of something that can be stretched and returns to its original length')",What do chromoplasts do to petals?,give
172,What term is used to describe when a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings?,evaporating point,freezing point,burning point,boiling point,boiling points vapor pressure increases enough equal external atmospheric pressure **liquid** reaches boiling point boiling point **liquid** temperature equilibrium vapor pressure equal pressure exerted **liquid** gaseous surroundings **liquid**s open containers pressure earth atmosphere normal boiling point **liquid** defined boiling point surrounding pressure equal figure shows variation vapor pressure temperature several different,"('liquid', 4)","('What is the boiling point of liquid?', 'liquid [TGT] reaches boiling point boiling point [TGT] liquid [TGT] temperature equilibrium vapor pressure equal pressure exerted [TGT] liquid [TGT] gaseous surroundings [TGT] liquid [TGT] s open containers pressure earth atmosphere normal boiling point [TGT] liquid', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the boiling point of liquid?,liquid  reaches boiling point boiling point  liquid  temperature equilibrium vapor pressure equal pressure exerted  liquid  gaseous surroundings  liquid  s open containers pressure earth atmosphere normal boiling point  liquid
173,"When electrons return to a lower energy level, they emit the excess energy in the form of what?",energy,weight,electricity,light,electrons **return** lower energy level emit energy form light,"('return', 1)","('What do electrons do to lower energy level?', 'return', ['Acceptance', 'Annexation', 'Assumption', 'Buyout', 'Incurring', 'Inheritance', 'Moneymaking', 'Pork-barreling', 'Procurement', 'Purchase', 'Restitution', 'Succession'], 'getting something back again')",What do electrons do to lower energy level?,return
174,What is another term for nearsightedness?,anemia,hypoxia,glaucoma,myopia,nearsightedness myopia condition **nearby** objects seen clearly distant objects blurry occurs eyeball longer normal causes images focused front retina myopia corrected concave lenses lenses focus images farther back retina instead front,"('nearby', 1)","('What type of objects are blurry?', 'nearby', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of objects are blurry?,nearby
175,What are the areas located at fixed distances from the nucleus of the atom?,orbit points,molar levels,atomic regions,energy levels,basic **bohr** model idea energy levels energy levels areas located fixed distances nucleus atom places electrons found energy levels little like rungs ladder stand rung another rungs goes electrons occupy energy level another space energy levels,"('bohr', 1)","('Energy levels areas located fixed distances nucleus atom places electrons found what model idea?', 'bohr', [], 'Danish physicist who studied atomic structure and radiations; the Bohr theory of the atom accounted for the spectrum of hydrogen (1885-1962)')",Energy levels areas located fixed distances nucleus atom places electrons found what model idea?,bohr
176,"In which state of matter do particles take the shape of their container, but cannot expand to fill it?",chemical,gas,mixture,liquid,liquid state matter particles slip past another take **shape** container however particles cannot pull apart spread take volume container,"('shape', 1)","('What type of container does liquid state matter slip past?', 'shape', ['Asymmetry', 'Dimensionality', 'Directionality', 'Obliqueness', 'Symmetry'], 'any spatial attributes (especially as defined by outline)')",What type of container does liquid state matter slip past?,shape
177,Runoff is likely to cause more what if the land is bare?,weathering,abrasion,sediment,erosion,runoff likely **cause** erosion land bare plants help hold soil place runoff water figure brown eroded soil bare sloping field find evidence erosion runoff live look,"('cause', 1)","('What does runoff likely do to erosion?', 'cause', ['Emanation', 'Germination', 'Preliminary'], 'events that provide the generative force that is the origin of something')",What does runoff likely do to erosion?,cause
178,Cations have what type of charge?,constant,negative,neutral,positive,cations positive charges anions **negative** charges,"('negative', 1)","('What type of charges do ions have?', 'negative', ['Abnegation', 'Disavowal', 'Naysaying', 'Refusal'], 'a reply of denial')",What type of charges do ions have?,negative
179,"What organ is subdivided into ascending, descending, transverse and sigmoid parts?",lungs,heart,uterus,colon,colon cecum blends seamlessly colon upon entering colon food residue first **travels** ascending colon right side abdomen inferior surface liver colon bends form right colic flexure hepatic flexure becomes transverse colon region defined hindgut begins last third transverse colon continues food residue passing transverse colon **travels** across left side abdomen colon angles sharply immediately inferior spleen left colic flexure splenic flexure food residue passes descending colon runs left side posterior abdominal wall entering pelvis inferiorly becomes shaped sigmoid colon extends medially midline figure ascending descending colon rectum discussed next located retroperitoneum transverse sigmoid colon tethered posterior abdominal wall mesocolon,"('travels', 2)","('What does colon food residue first do?', 'travels [TGT] ascending colon right side abdomen inferior surface liver colon bends form right colic flexure hepatic flexure becomes transverse colon region defined hindgut begins last third transverse colon continues food residue passing transverse colon [TGT] travels', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does colon food residue first do?,travels  ascending colon right side abdomen inferior surface liver colon bends form right colic flexure hepatic flexure becomes transverse colon region defined hindgut begins last third transverse colon continues food residue passing transverse colon  travels
180,"Ammonia, urea, and uric acid are examples of what kind of waste?",oxygenous,carbonous,sulphurous,nitrogenous,,none,,,
181,What are variants of genes called?,allergens,antigens,mutations,alleles,recall wound chromosomes chromosomes contains long chain encodes hundreds thousands genes genes slightly different versions **individual** **individual** variants genes called alleles parent donates allele gene offspring,"('individual', 2)","('What type of variants are genes called alleles?', 'individual [TGT] [TGT] individual', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of variants are genes called alleles?,individual   individual
182,"Mushrooms are an example of what type of organism, which includes beneficial and toxic specimens?",seeds,spores,bacteria,fungi,best known types fungi **mushroom**s edible poisonous figure many species grown commercially others harvested wild order pizza **mushroom**s salad likely eating agaricus bisporus known white button **mushroom**s commonly eaten species **mushroom** species gathered wild people commercial sale many **mushroom** species poisonous humans **mushroom**s simply give stomachache others kill **mushroom**s cooked poisonous find **mushroom**s wild certain safe,"('mushroom', 2)","('What type of mushroom is edible poisonous?', 'mushroom [TGT] s edible poisonous figure many species grown commercially others harvested wild order pizza [TGT] mushroom [TGT] s salad likely eating agaricus bisporus known white button [TGT] mushroom [TGT] s commonly eaten species [TGT] mushroom [TGT] species gathered wild people commercial sale many [TGT] mushroom [TGT] species poisonous humans [TGT] mushroom [TGT] s simply give stomachache others kill [TGT] mushroom [TGT] s cooked poisonous find [TGT] mushroom', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of mushroom is edible poisonous?,mushroom  s edible poisonous figure many species grown commercially others harvested wild order pizza  mushroom  s salad likely eating agaricus bisporus known white button  mushroom  s commonly eaten species  mushroom  species gathered wild people commercial sale many  mushroom  species poisonous humans  mushroom  s simply give stomachache others kill  mushroom  s cooked poisonous find  mushroom
183,Comparing what sequences provides clues to evolution and development?,organisms,DNA,genes,genome,comparing genome sequences provides **clues** evolution development,"('clues', 1)","('What does comparing genome sequences provide?', 'clues', ['Evidence', 'Gesture', 'Glimpse', 'Harbinger', 'Hint', 'Manifestation', 'Mark', 'Pointing Out', 'Signalization', 'Smoke', 'Symptom', 'Trace'], 'a slight indication')",What does comparing genome sequences provide?,clues
184,"What is a measure of the average amount of energy of motion, or kinetic energy, a system contains called?",precipitation,size,variation,temperature,units chemistry important cover others course entire book fundamental quantities science temperature temperature measure average amount energy motion kinetic energy system contains temperatures expressed using scales units called degrees several temperature scales united states commonly used temperature scale fahrenheit scale symbolized spoken degrees fahrenheit scale freezing point liquid **water** temperature liquid **water** turns solid boiling point **water** temperature liquid **water** turns steam science also uses scales express temperature celsius scale symbolized spoken degrees celsius temperature scale freezing point **water** boiling point **water** scale divided divisions landmarks extended higher lower comparing fahrenheit celsius scales conversion scales determined saylor http saylor books,"('water', 6)","('What temperature scales does steam science use?', 'water [TGT] temperature liquid [TGT] water [TGT] turns solid boiling point [TGT] water [TGT] temperature liquid [TGT] water [TGT] turns steam science also uses scales express temperature celsius scale symbolized spoken degrees celsius temperature scale freezing point [TGT] water [TGT] boiling point [TGT] water', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What temperature scales does steam science use?,water  temperature liquid  water  turns solid boiling point  water  temperature liquid  water  turns steam science also uses scales express temperature celsius scale symbolized spoken degrees celsius temperature scale freezing point  water  boiling point  water
185,What is the minimum mass capable of supporting sustained fission called?,particular mass,concentrated mass,baseline mass,critical mass,u92235 b56141a k3692r hypothesis confirmed detecting krypton fission product discussed section nuclear **reaction**s nucleus usually divides asymmetrically rather equal parts fission given nuclide give products every time typical nuclear fission **reaction** neutron released dividing nucleus neutrons collide induce fission neighboring nuclei self sustaining series nuclear fission **reaction**s known anuclear chain **reaction** result figure curve nuclear binding energy example fission releases three neutrons fission event absorbed nuclei neutrons induce additional fission events rate fission **reaction** increases geometrically series events called generation experimentally found minimum mass fissile isotope required sustain nuclear chain **reaction** mass many neutrons able escape without captured inducing fission **reaction** minimum mass capable supporting sustained fission called critical mass amount depends purity material shape mass corresponds amount surface area available neutrons escape identity isotope mass fissile isotope greater critical mass right conditions resulting supercritical mass release energy explosively enormous energy released nuclear chain **reaction**s responsible massive destruction caused detonation nuclear weapons fission bombs also forms basis nuclear power industry nuclear fusion light nuclei combine produce heavier stable nucleus opposite nuclear fission nuclear transmutation **reaction**s discussed section nuclear,"('reaction', 5)","('What isotope required sustain nuclear chain reaction mass many neutrons?', 'reaction [TGT] s nucleus usually divides asymmetrically rather equal parts fission given nuclide give products every time typical nuclear fission [TGT] reaction [TGT] neutron released dividing nucleus neutrons collide induce fission neighboring nuclei self sustaining series nuclear fission [TGT] reaction [TGT] s known anuclear chain [TGT] reaction [TGT] result figure curve nuclear binding energy example fission releases three neutrons fission event absorbed nuclei neutrons induce additional fission events rate fission [TGT] reaction [TGT] increases geometrically series events called generation experimentally found minimum mass fissile isotope required sustain nuclear chain [TGT] reaction [TGT] mass many neutrons able escape without captured inducing fission [TGT] reaction [TGT] minimum mass capable supporting sustained fission called critical mass amount depends purity material shape mass corresponds amount surface area available neutrons escape identity isotope mass fissile isotope greater critical mass right conditions resulting supercritical mass release energy explosively enormous energy released nuclear chain [TGT] reaction [TGT] s responsible massive destruction caused detonation nuclear weapons fission bombs also forms basis nuclear power industry nuclear fusion light nuclei combine produce heavier stable nucleus opposite nuclear fission nuclear transmutation [TGT] reaction', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What isotope required sustain nuclear chain reaction mass many neutrons?,reaction  s nucleus usually divides asymmetrically rather equal parts fission given nuclide give products every time typical nuclear fission  reaction  neutron released dividing nucleus neutrons collide induce fission neighboring nuclei self sustaining series nuclear fission  reaction  s known anuclear chain  reaction  result figure curve nuclear binding energy example fission releases three neutrons fission event absorbed nuclei neutrons induce additional fission events rate fission  reaction  increases geometrically series events called generation experimentally found minimum mass fissile isotope required sustain nuclear chain  reaction  mass many neutrons able escape without captured inducing fission  reaction  minimum mass capable supporting sustained fission called critical mass amount depends purity material shape mass corresponds amount surface area available neutrons escape identity isotope mass fissile isotope greater critical mass right conditions resulting supercritical mass release energy explosively enormous energy released nuclear chain  reaction  s responsible massive destruction caused detonation nuclear weapons fission bombs also forms basis nuclear power industry nuclear fusion light nuclei combine produce heavier stable nucleus opposite nuclear fission nuclear transmutation  reaction
186,Many hydrocarbons are cyclic and adopt specific three-dimensional structures that influence their physical and what properties?,radiation,liquid,electrical,chemical,many hydrocarbons cyclic adopt specific three dimensional structures influence **physical** chemical properties,"('physical', 1)","('What chemical properties do hydrocarbons cyclic have?', 'physical', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What chemical properties do hydrocarbons cyclic have?,physical
187,"The secondary wall contains _________ , a secondary cell component in plant cells that have completed cell growth/expansion.",cellulose,cytoplasm,glucogen,lignin,**microtubules** guide formation plant cell wall cellulose laid enzymes form primary cell wall plants also secondary cell wall secondary wall contains lignin secondary cell component plant cells completed cell growth expansion,"('microtubules', 1)","('What guide formation of cell wall plants?', 'microtubules', ['Microtubule', 'Nephron', 'Seminiferous Tubule', 'Trachea', 'Uveoscleral Pathway', 'Vasa Efferentia'], 'a microscopically small tubule')",What guide formation of cell wall plants?,microtubules
188,What does the cell cycle do?,only reproduce cells,only divide cells,create new cells,divide and reproduce cells,cell cycle repeating series **events** characterizing life eukaryotic cell,"('events', 1)","('What characterizes life in an eukaryotic cell?', 'events', ['Cognition', 'Event', 'Motivation'], 'something that happens at a given place and time')",What characterizes life in an eukaryotic cell?,events
